玩家最大等级表示领取该奖励的区间，为(上行等级,本行等级]					
	ID	玩家最大等级	奖励1	奖励2	奖励3
#	2001	190	3_FZHB002_349800	3_TFBX001_1	0
#	2001	195	3_FZHB002_361800	3_TFBX001_1	0
#	2001	200	3_FZHB002_373800	3_TFBX001_1	0
#	2001	205	3_FZHB002_385800	3_TFBX001_1	0
#	2001	210	3_FZHB002_397800	3_TFBX001_1	0
#	2001	215	3_FZHB002_409800	3_TFBX001_1	0
#	2001	220	3_FZHB002_421800	3_TFBX001_1	0
#	2001	225	3_FZHB002_433800	3_TFBX001_1	0
#	2001	230	3_FZHB002_445800	3_TFBX001_1	0
#	2001	235	3_FZHB002_457800	3_TFBX001_1	0
#	2001	240	3_FZHB002_469800	3_TFBX001_1	0
#	2001	245	3_FZHB002_481800	3_TFBX001_1	0
#	2001	9999	3_FZHB002_493800	3_TFBX001_1	0
#	2002	40	3_FZHB002_75950	3_TFBX001_1	0
#	2002	45	3_FZHB002_81200	3_TFBX001_1	0
#	2002	50	3_FZHB002_86450	3_TFBX001_1	0
#	2002	55	3_FZHB002_91700	3_TFBX001_1	0
#	2002	60	3_FZHB002_96950	3_TFBX001_1	0
#	2002	65	3_FZHB002_102200	3_TFBX001_1	0
#	2002	70	3_FZHB002_107450	3_TFBX001_1	0
#	2002	75	3_FZHB002_113750	3_TFBX001_1	0
#	2002	80	3_FZHB002_120050	3_TFBX001_1	0
#	2002	85	3_FZHB002_128450	3_TFBX001_1	0
#	2002	90	3_FZHB002_136850	3_TFBX001_1	0
#	2002	95	3_FZHB002_147350	3_TFBX001_1	0
#	2002	100	3_FZHB002_157850	3_TFBX001_1	0
#	2002	105	3_FZHB002_170975	3_TFBX001_1	0
#	2002	110	3_FZHB002_184100	3_TFBX001_1	0
#	2002	115	3_FZHB002_198100	3_TFBX001_1	0
#	2002	120	3_FZHB002_212100	3_TFBX001_1	0
#	2002	125	3_FZHB002_226100	3_TFBX001_1	0
#	2002	130	3_FZHB002_240100	3_TFBX001_1	0
#	2002	135	3_FZHB002_254100	3_TFBX001_1	0
#	2002	140	3_FZHB002_268100	3_TFBX001_1	0
#	2002	145	3_FZHB002_282100	3_TFBX001_1	0
#	2002	150	3_FZHB002_296100	3_TFBX001_1	0
#	2002	155	3_FZHB002_310100	3_TFBX001_1	0
#	2002	160	3_FZHB002_324100	3_TFBX001_1	0
#	2002	165	3_FZHB002_338100	3_TFBX001_1	0
#	2002	170	3_FZHB002_352100	3_TFBX001_1	0
#	2002	175	3_FZHB002_366100	3_TFBX001_1	0
#	2002	180	3_FZHB002_380100	3_TFBX001_1	0
#	2002	185	3_FZHB002_394100	3_TFBX001_1	0
#	2002	190	3_FZHB002_408100	3_TFBX001_1	0
#	2002	195	3_FZHB002_422100	3_TFBX001_1	0
#	2002	200	3_FZHB002_436100	3_TFBX001_1	0
#	2002	205	3_FZHB002_450100	3_TFBX001_1	0
#	2002	210	3_FZHB002_464100	3_TFBX001_1	0
#	2002	215	3_FZHB002_478100	3_TFBX001_1	0
#	2002	220	3_FZHB002_492100	3_TFBX001_1	0
#	2002	225	3_FZHB002_506100	3_TFBX001_1	0
#	2002	230	3_FZHB002_520100	3_TFBX001_1	0
#	2002	235	3_FZHB002_534100	3_TFBX001_1	0
#	2002	240	3_FZHB002_548100	3_TFBX001_1	0
#	2002	245	3_FZHB002_562100	3_TFBX001_1	0
#	2002	9999	3_FZHB002_576100	3_TFBX001_1	0
#	2003	40	3_FZHB002_75950	3_TFBX001_2	0
#	2003	45	3_FZHB002_81200	3_TFBX001_2	0
#	2003	50	3_FZHB002_86450	3_TFBX001_2	0
#	2003	55	3_FZHB002_91700	3_TFBX001_2	0
#	2003	60	3_FZHB002_96950	3_TFBX001_2	0
#	2003	65	3_FZHB002_102200	3_TFBX001_2	0
#	2003	70	3_FZHB002_107450	3_TFBX001_2	0
#	2003	75	3_FZHB002_113750	3_TFBX001_2	0
#	2003	80	3_FZHB002_120050	3_TFBX001_2	0
#	2003	85	3_FZHB002_128450	3_TFBX001_2	0
#	2003	90	3_FZHB002_136850	3_TFBX001_2	0
#	2003	95	3_FZHB002_147350	3_TFBX001_2	0
#	2003	100	3_FZHB002_157850	3_TFBX001_2	0
#	2003	105	3_FZHB002_170975	3_TFBX001_2	0
#	2003	110	3_FZHB002_184100	3_TFBX001_2	0
#	2003	115	3_FZHB002_198100	3_TFBX001_2	0
#	2003	120	3_FZHB002_212100	3_TFBX001_2	0
#	2003	125	3_FZHB002_226100	3_TFBX001_2	0
#	2003	130	3_FZHB002_240100	3_TFBX001_2	0
#	2003	135	3_FZHB002_254100	3_TFBX001_2	0
#	2003	140	3_FZHB002_268100	3_TFBX001_2	0
#	2003	145	3_FZHB002_282100	3_TFBX001_2	0
#	2003	150	3_FZHB002_296100	3_TFBX001_2	0
#	2003	155	3_FZHB002_310100	3_TFBX001_2	0
#	2003	160	3_FZHB002_324100	3_TFBX001_2	0
#	2003	165	3_FZHB002_338100	3_TFBX001_2	0
#	2003	170	3_FZHB002_352100	3_TFBX001_2	0
#	2003	175	3_FZHB002_366100	3_TFBX001_2	0
#	2003	180	3_FZHB002_380100	3_TFBX001_2	0
#	2003	185	3_FZHB002_394100	3_TFBX001_2	0
#	2003	190	3_FZHB002_408100	3_TFBX001_2	0
#	2003	195	3_FZHB002_422100	3_TFBX001_2	0
#	2003	200	3_FZHB002_436100	3_TFBX001_2	0
#	2003	205	3_FZHB002_450100	3_TFBX001_2	0
#	2003	210	3_FZHB002_464100	3_TFBX001_2	0
#	2003	215	3_FZHB002_478100	3_TFBX001_2	0
#	2003	220	3_FZHB002_492100	3_TFBX001_2	0
#	2003	225	3_FZHB002_506100	3_TFBX001_2	0
#	2003	230	3_FZHB002_520100	3_TFBX001_2	0
#	2003	235	3_FZHB002_534100	3_TFBX001_2	0
#	2003	240	3_FZHB002_548100	3_TFBX001_2	0
#	2003	245	3_FZHB002_562100	3_TFBX001_2	0
#	2003	9999	3_FZHB002_576100	3_TFBX001_2	0
#	2004	40	3_FZHB002_86800	3_TFBX001_2	0
#	2004	45	3_FZHB002_92800	3_TFBX001_2	0
#	2004	50	3_FZHB002_98800	3_TFBX001_2	0
#	2004	55	3_FZHB002_104800	3_TFBX001_2	0
#	2004	60	3_FZHB002_110800	3_TFBX001_2	0
#	2004	65	3_FZHB002_116800	3_TFBX001_2	0
#	2004	70	3_FZHB002_122800	3_TFBX001_2	0
#	2004	75	3_FZHB002_130000	3_TFBX001_2	0
#	2004	80	3_FZHB002_137200	3_TFBX001_2	0
#	2004	85	3_FZHB002_146800	3_TFBX001_2	0
#	2004	90	3_FZHB002_156400	3_TFBX001_2	0
#	2004	95	3_FZHB002_168400	3_TFBX001_2	0
#	2004	100	3_FZHB002_180400	3_TFBX001_2	0
#	2004	105	3_FZHB002_195400	3_TFBX001_2	0
#	2004	110	3_FZHB002_210400	3_TFBX001_2	0
#	2004	115	3_FZHB002_226400	3_TFBX001_2	0
#	2004	120	3_FZHB002_242400	3_TFBX001_2	0
#	2004	125	3_FZHB002_258400	3_TFBX001_2	0
#	2004	130	3_FZHB002_274400	3_TFBX001_2	0
#	2004	135	3_FZHB002_290400	3_TFBX001_2	0
#	2004	140	3_FZHB002_306400	3_TFBX001_2	0
#	2004	145	3_FZHB002_322400	3_TFBX001_2	0
#	2004	150	3_FZHB002_338400	3_TFBX001_2	0
#	2004	155	3_FZHB002_354400	3_TFBX001_2	0
#	2004	160	3_FZHB002_370400	3_TFBX001_2	0
#	2004	165	3_FZHB002_386400	3_TFBX001_2	0
#	2004	170	3_FZHB002_402400	3_TFBX001_2	0
#	2004	175	3_FZHB002_418400	3_TFBX001_2	0
#	2004	180	3_FZHB002_434400	3_TFBX001_2	0
#	2004	185	3_FZHB002_450400	3_TFBX001_2	0
#	2004	190	3_FZHB002_466400	3_TFBX001_2	0
#	2004	195	3_FZHB002_482400	3_TFBX001_2	0
#	2004	200	3_FZHB002_498400	3_TFBX001_2	0
#	2004	205	3_FZHB002_514400	3_TFBX001_2	0
#	2004	210	3_FZHB002_530400	3_TFBX001_2	0
#	2004	215	3_FZHB002_546400	3_TFBX001_2	0
#	2004	220	3_FZHB002_562400	3_TFBX001_2	0
#	2004	225	3_FZHB002_578400	3_TFBX001_2	0
#	2004	230	3_FZHB002_594400	3_TFBX001_2	0
#	2004	235	3_FZHB002_610400	3_TFBX001_2	0
#	2004	240	3_FZHB002_626400	3_TFBX001_2	0
#	2004	245	3_FZHB002_642400	3_TFBX001_2	0
#	2004	9999	3_FZHB002_658400	3_TFBX001_2	0
#	2005	40	3_FZHB002_86800	3_TFBX001_3	0
#	2005	45	3_FZHB002_92800	3_TFBX001_3	0
#	2005	50	3_FZHB002_98800	3_TFBX001_3	0
#	2005	55	3_FZHB002_104800	3_TFBX001_3	0
#	2005	60	3_FZHB002_110800	3_TFBX001_3	0
#	2005	65	3_FZHB002_116800	3_TFBX001_3	0
#	2005	70	3_FZHB002_122800	3_TFBX001_3	0
#	2005	75	3_FZHB002_130000	3_TFBX001_3	0
#	2005	80	3_FZHB002_137200	3_TFBX001_3	0
#	2005	85	3_FZHB002_146800	3_TFBX001_3	0
#	2005	90	3_FZHB002_156400	3_TFBX001_3	0
#	2005	95	3_FZHB002_168400	3_TFBX001_3	0
#	2005	100	3_FZHB002_180400	3_TFBX001_3	0
#	2005	105	3_FZHB002_195400	3_TFBX001_3	0
#	2005	110	3_FZHB002_210400	3_TFBX001_3	0
#	2005	115	3_FZHB002_226400	3_TFBX001_3	0
#	2005	120	3_FZHB002_242400	3_TFBX001_3	0
#	2005	125	3_FZHB002_258400	3_TFBX001_3	0
#	2005	130	3_FZHB002_274400	3_TFBX001_3	0
#	2005	135	3_FZHB002_290400	3_TFBX001_3	0
#	2005	140	3_FZHB002_306400	3_TFBX001_3	0
#	2005	145	3_FZHB002_322400	3_TFBX001_3	0
#	2005	150	3_FZHB002_338400	3_TFBX001_3	0
#	2005	155	3_FZHB002_354400	3_TFBX001_3	0
#	2005	160	3_FZHB002_370400	3_TFBX001_3	0
#	2005	165	3_FZHB002_386400	3_TFBX001_3	0
#	2005	170	3_FZHB002_402400	3_TFBX001_3	0
#	2005	175	3_FZHB002_418400	3_TFBX001_3	0
#	2005	180	3_FZHB002_434400	3_TFBX001_3	0
#	2005	185	3_FZHB002_450400	3_TFBX001_3	0
#	2005	190	3_FZHB002_466400	3_TFBX001_3	0
#	2005	195	3_FZHB002_482400	3_TFBX001_3	0
#	2005	200	3_FZHB002_498400	3_TFBX001_3	0
#	2005	205	3_FZHB002_514400	3_TFBX001_3	0
#	2005	210	3_FZHB002_530400	3_TFBX001_3	0
#	2005	215	3_FZHB002_546400	3_TFBX001_3	0
#	2005	220	3_FZHB002_562400	3_TFBX001_3	0
#	2005	225	3_FZHB002_578400	3_TFBX001_3	0
#	2005	230	3_FZHB002_594400	3_TFBX001_3	0
#	2005	235	3_FZHB002_610400	3_TFBX001_3	0
#	2005	240	3_FZHB002_626400	3_TFBX001_3	0
#	2005	245	3_FZHB002_642400	3_TFBX001_3	0
#	2005	9999	3_FZHB002_658400	3_TFBX001_3	0
